artist	track
Grateful Dead	Morning Dew
Grateful Dead	Mountains Of The Moon
Grateful Dead	New, New Minglewood Blues
Grateful Dead	New Potato Caboose
Grateful Dead	Rosemary
Grateful Dead	Sitting On Top Of The World
Grateful Dead	St. Stephen
Grateful Dead	That's It For The Other One
Grateful Dead	The Golden Road (To Unlimited Devotion)
Grateful Dead	The Same Thing
Grateful Dead	Viola Lee Blues
Green	RCMPB
Green	Where Have I Been
Gun	Rupert's Travels
Gun	Sunshine
Hamilton Streetcar	Brother Speed
Happy Confusion	Hereditary Impediment
Hardwater	Good Ole Friends
Hardwater	My Time
Head Hands & Feet	Hail The Conquering Hero
Head Hands & Feet	Homing In On The Next Trade Wind
Heavy Jelly	If You'd Like To
Heavy Jelly	Take Me Down To The Water
Herbal Mixture	Please Leave My Mind
High Tide	Death Warmed Up
High Tide	Futilist's Lament
High Tide	Pushed, But Not Forgotten
High Tide	Walking Down Their Outlook
Him And The Others	She's Got Eyes That Tell Lies
Honeybus	Black Mourning Band
Honeybus	How Long
Honeybus	Tender Are The Ashes
House Of Lords	In The Land Of Dreams
H.P. Lovecraft	At The Mountains Of Madness
H.P. Lovecraft	Country Boy & Bleeker Street
H.P. Lovecraft	Electrallentando
H.P. Lovecraft	I've Been Wrong Before
H.P. Lovecraft	Keeper Of The Keys
H.P. Lovecraft	Let's Get Together
H.P. Lovecraft	Mobius Trip
H.P. Lovecraft	Nothing's Boy
H.P. Lovecraft	That's How Much I Love You, Baby (More Or Less)
H.P. Lovecraft	That's The Bag I'm In
H.P. Lovecraft	The Bag I'm In
H.P. Lovecraft	The Drifter
H.P. Lovecraft	The Time Machine
H.P. Lovecraft	The White Ship
H.P. Lovecraft	Wayfaring Stranger
Humble Pie	As Safe As Yesterday Is
Humble Pie	Desperation
Humble Pie	Greg's Song
Humble Pie	Home And Away
Humble Pie	I'll Go Alone
Humble Pie	Only You Can See
Humble Pie	Silver Tongue
Humble Pie	Stick Shift
Humble Pie	Take Me Back
Humble Pie	The Sad Bag Of Shaky Jake
Humble Pie	What You Will
H.Y. Sledge	Canadian Exodus
H.Y. Sledge	Cellophane Lady / No Where To Go
H.Y. Sledge	Citation On Liberty
H.Y. Sledge	Day Of Realization
H.Y. Sledge	Ride The Waves
H.Y. Sledge	Such An Easy Day
Ice	Ice Man
Ice	So Many Times
Ice	Whisper Her Name (Maria Laine)
Ill Wind	Full Cycle
Ill Wind	Hung Up Chick
Ill Wind	Little Man
Ill Wind	People Of The Night
Ill Wind	Sleep
Ill Wind	Walkin' And Singin'
Indian Puddin' And Pipe	Hashish
Indian Puddin' And Pipe	Water Or Wine
Iron Butterfly	Flowers And Beads
Iron Butterfly	In-A-Gadda-Da-Vida
Iron Butterfly	Iron Butterfly Theme
Iron Butterfly	Look For The Sun
Iron Butterfly	My Mirage
Iron Butterfly	Soul Experience
It's A Beautiful Day	Do You Remember The Sun?
It's A Beautiful Day	Essence Of Now
It's A Beautiful Day	Hot Summer Day
It's A Beautiful Day	Wasted Union Blues
It's A Beautiful Day	White Bird
Ivy League	My World Fell Down
Jack And The Beanstalks	Mood For Hurt
Jack Bruce	Weird Of Hermiston
Jackie Lomax	Sour Milk Sea
Jago Simms	In Too Deep
James Gang	Again
James Gang	Ashes, The Rain & I
James Gang	Asshtonpark
James Gang	Bluebird
James Gang	Collage
James Gang	Dreamin' In The Country
James Gang	Fred
James Gang	Funk #48
James Gang	Funk #49
James Gang	Garden Gate
James Gang	I Don't Have The Time
James Gang	It's All The Same
James Gang	Live My Life Again
James Gang	Midnight Man
James Gang	Stop
James Gang	Take A Look Around
James Gang	Tend My Garden
James Gang	Thanks
James Gang	The Bomber
James Gang	There I Go Again
James Gang	Things I Could Be
James Gang	Walk Away
James Gang	White Man/Black Man
James Gang	Woman
James Gang	Yadig
Jan & Lorraine	Bird Of Passage
Jan & Lorraine	Break Out The Wine
Jan & Lorraine	Don't You Feel Fine?
Jan & Lorraine	Foolin' Myself
Jan & Lorraine	Life's Parade
Jan & Lorraine	Number 33
Jan & Lorraine	Snow Roses
Jan & Lorraine	The Assignment Song-Sequence
J.D. Blackfoot	Who's Nuts Alfred?
Jeff Beck	Beck's Bolero
Jeff Beck	Morning Dew
Jeff Beck	Shapes Of Things
Jefferson Airplane	3/5 Of A Mile In 10 Seconds
Jefferson Airplane	And I Like It
Jefferson Airplane	A Song For All Seasons
Jefferson Airplane	Blues From An Airplane
Jefferson Airplane	Bringing Me Down
Jefferson Airplane	Chauffer Blues
Jefferson Airplane	Come Up The Years
Jefferson Airplane	Crazy Miranda
Jefferson Airplane	Crown Of Creation
Jefferson Airplane	D.C.B.A.-25
Jefferson Airplane	Don't Slip Away
Jefferson Airplane	Embryonic Journey
Jefferson Airplane	Eskimo Blue Day
Jefferson Airplane	Feel So Good
Jefferson Airplane	Good Shepherd
Jefferson Airplane	Go To Her
Jefferson Airplane	Greasy Heart
Jefferson Airplane	Have You Seen The Saucers
Jefferson Airplane	Hey Fredrick
Jefferson Airplane	High Flyin' Bird
Jefferson Airplane	How Do You Feel
Jefferson Airplane	Ice Cream Phoenix
Jefferson Airplane	If You Feel
Jefferson Airplane	In Time
Jefferson Airplane	It's No Secret
Jefferson Airplane	J.P.P. McStep B. Blues
Jefferson Airplane	Lather
Jefferson Airplane	Law Man
Jefferson Airplane	Let Me In
Jefferson Airplane	Let's Get Together
Jefferson Airplane	Long John Silver
Jefferson Airplane	Martha
Jefferson Airplane	Meadowlands
Jefferson Airplane	Mexico
Jefferson Airplane	My Best Friend
Jefferson Airplane	Other Side Of This Life
Jefferson Airplane	Plastic Fantastic Lover
Jefferson Airplane	Pretty As You Feel
Jefferson Airplane	Rejoyce
Jefferson Airplane	Rock And Roll Island
Jefferson Airplane	Run Around
Jefferson Airplane	Runnin' 'Round This World
Jefferson Airplane	Share A Little Joke
Jefferson Airplane	She Has Funny Cars
Jefferson Airplane	Somebody To Love
Jefferson Airplane	Star Track
Jefferson Airplane	The Ballad Of You & Me & Pooneil
Jefferson Airplane	The Farm
Jefferson Airplane	The House At Pooneil Corners
Jefferson Airplane	The Last Wall Of The Castle
Jefferson Airplane	Things Are Better In The East
Jefferson Airplane	Third Week In The Chelsea
Jefferson Airplane	Tobacco Road
Jefferson Airplane	Today
Jefferson Airplane	Trial By Fire
Jefferson Airplane	Turn My Life Down
Jefferson Airplane	Twilight Double Leader
Jefferson Airplane	Two Heads
Jefferson Airplane	Volunteers
Jefferson Airplane	War Movie
Jefferson Airplane	Watch Her Ride
Jefferson Airplane	We Can Be Together
Jefferson Airplane	When The Earth Moves Again
Jefferson Airplane	White Rabbit
Jefferson Airplane	Wild Turkey
Jefferson Airplane	Wild Tyme (H)
Jefferson Airplane	Won't You Try/Saturday Afternoon
Jefferson Airplane	Wooden Ships
Jefferson Airplane	Young Girl Sunday Blues
Jefferson Starship	A Child Is Coming
Jefferson Starship	Have You Seen The Stars Tonite
Jefferson Starship	Hijack
Jefferson Starship	Let's Go Together
Jefferson Starship	Mau Mau (Amerikon)
Jefferson Starship	Starship
Jefferson Starship	Sunrise
Jefferson Starship	The Baby Tree
Jennifer's Friends	Land Of Make Believe
Jennifer's Friends	Visions
Jethro Tull	Alive And Well And Living In
Jethro Tull	A Song For Jeffrey
Jethro Tull	A Time For Everything?
Jethro Tull	Back To The Family
Jethro Tull	Beggar's Farm
Jethro Tull	Cheap Day Return
Jethro Tull	Christmas Song
Jethro Tull	Cross-Eyed Mary
Jethro Tull	Dr. Bogenbroom
Jethro Tull	Fat Man
Jethro Tull	For Michael Collins, Jeffrey And Me
Jethro Tull	Hymn 43
Jethro Tull	Inside
Jethro Tull	Jeffrey Goes To Leicester Square
Jethro Tull	Just Trying To Be
Jethro Tull	Life Is A Long Song
Jethro Tull	Living In The Past
Jethro Tull	Look Into The Sun
Jethro Tull	Love Story
Jethro Tull	March The Mad Scientist
Jethro Tull	Mother Goose
Jethro Tull	Move On Alone
Jethro Tull	My God
Jethro Tull	My Sunday Feeling
Jethro Tull	Nothing To Say
Jethro Tull	Nursie
Jethro Tull	Play In Time
Jethro Tull	Reasons For Waiting
Jethro Tull	Round
Jethro Tull	Singing All Day
Jethro Tull	Slipstream
Jethro Tull	Son
Jethro Tull	Sossity, You're A Woman
Jethro Tull	Summerday Sands
Jethro Tull	Sweet Dream
Jethro Tull	Teacher
Jethro Tull	To Cry You A Song
Jethro Tull	Up The 'Pool
Jethro Tull	Up To Me
Jethro Tull	Witches Promise
Jethro Tull	With You There To Help Me
Jethro Tull	Wond'ring Again
Jethro Tull	Wond'ring Aloud
Jimi Hendrix & Curtis Knight	Day Tripper
Jimi Hendrix & Curtis Knight	Gloomy Monday
Jim & Jean	Success
Jim & Jean	The Planet June
Jim & Jean	Time Goes Backwards
J.J. Cale	Outside Lookin' In
J.K. & Co.	Fly
Joe Cocker	Delta Lady
Joe Cocker	Feelin' Alright
Joe Cocker	Marjorine
Joe Cocker	She Came In Through The Bathroom Window
Joe Cocker	With A Little Help From My Friends
John Bromley	So Many Things
John Cushing	Boys For Toys
John Fred And His Playboy Band	No Letter Today
John Randolph Marr	Raggedy Ann
John's Children	Desdemona
John's Children	Midsummer Night's Scene
Jolliver Arkansaw	Hatred Sun
Jolliver Arkansaw	King Chaos
Jolliver Arkansaw	Mr. Brennan
Jude	Morning Morgantown
July	Friendly Man
July	My Clown
July	The Way
Kak	Everything's Changing
Kak	Lemonaide Kid
Kak	Trieulogy: Golgotha/Mirage/Rain
Kaleidoscope	A Dream For Julie
Kaleidoscope	Baldheaded End Of A Broom
Kaleidoscope	Cuckoo
Kaleidoscope	Dive Into Yesterday
Kaleidoscope	Egyptian Gardens
Kaleidoscope	Elevator Man
Kaleidoscope	Faintly Blowing
Kaleidoscope	Flight From Ashiya
Kaleidoscope	(Further Reflections) In The Room Of Percussion
Kaleidoscope	Holiday Maker
Kaleidoscope	I Found Out
Kaleidoscope	If The Night
Kaleidoscope	Keep Your Mind Open
Kaleidoscope	Lie To Me
Kaleidoscope	Life Will Pass You By
Kaleidoscope	Little Orphan Nannie
Kaleidoscope	Love Games
Kaleidoscope	Lulu Arfin Nanny
Kaleidoscope	Nobody
Kaleidoscope	Pulsating Dream
Kaleidoscope	Snapdragon
Kaleidoscope	The Murder Of Lewis Tollani
Kaleidoscope	The Sky Children
Kaleidoscope	To Know Is Not To Be
Kaleidoscope	Why Try
Kaleidoscope	You Don't Love Me
Kangaroo	Happy Man
Kate	Strange Girl
Keith Shields	Deep Inside Your Mind
Keith West	On A Saturday
Keith West	Sam
Keith West	She
Kensington Market	Girl Is Young
Kensington Market	Half Closed Eyes
Kensington Market	If It Is Love
Kensington Market	I Know You
Kensington Market	Looking Glass
Kensington Market	Said I Could Be Happy
Kensington Market	Side I Am
Kensington Market	Speaking Of Dreams
Kensington Market	The Thinker
Kes Wyndham	Broken Bicycle
Kim Fowley	Bubble Gum
Kim Fowley	Hide And Seek
Kim Fowley	Strangers From The Sky
King Crimson	21st Century Schizoid Man
King Crimson	Cadence And Cascade
King Crimson	Cat Food
King Crimson	Cirkus
King Crimson	Epitaph
King Crimson	Happy Family
King Crimson	Indoor Games
King Crimson	In The Wake Of Poseidon
King Crimson	I Talk To The Wind
King Crimson	Lament
King Crimson	Pictures Of A City
King Crimson	The Court Of The Crimson King
King Crimson	The Great Deceiver
King David	Canticles To Jello
Kubla Khan	Help Yourself
Last Friday's Fire	Something's Happening
Lazy Smoke	All These Years
Lazy Smoke	How Was Your Day Last Night?
Lazy Smoke	Salty People
Led Zeppelin	Babe I'm Gonna Leave You
Led Zeppelin	Black Mountain Side
Led Zeppelin	Bring It On Home
Led Zeppelin	Bron-Y-Aur Stomp
Led Zeppelin	Celebration Day
Led Zeppelin	Communication Breakdown
Led Zeppelin	Dazed And Confused
Led Zeppelin	Friends
Led Zeppelin	Gallows Pole
Led Zeppelin	Good Times Bad Times
Led Zeppelin	Hats Off To (Roy) Harper
Led Zeppelin	Heartbreaker
Led Zeppelin	Hey Hey What Can I Do
Led Zeppelin	How Many More Times
Led Zeppelin	Immigrant Song
Led Zeppelin	Living Loving Maid (She's Just A Woman)
Led Zeppelin	Out On The Tiles
Led Zeppelin	Ramble On
Led Zeppelin	Tangerine
Led Zeppelin	Thank You
Led Zeppelin	That's The Way
Led Zeppelin	Traveling Riverside Blues
Led Zeppelin	What Is And What Should Never Be
Led Zeppelin	Whole Lotta Love
Led Zeppelin	Your Time Is Gonna Come
Lee Michaels	Hello
Lee Michaels	My Friends
Lee Michaels	Streetcar
Les Goths	Out Of The Sun
Les Sauterelles	Dream Machine
Life 'N' Soul	Peacefully Asleep
Locomotive	Mr. Armageddon
London Phogg	The Times To Come
Long Grass	Sunshine To Burn
Los Shakers	Espero Que Les Guste
Lothar And The Hand People	Sdrawkcab (Backwards)
Lothar And The Hand People	That's Another Story
Lothar And The Hand People	You Won't Be Lonely
Louie And The Lovers	Driver Go Slow
Louie And The Lovers	I Don't Want To Be Seen With You
Louie And The Lovers	If The Night
Louie And The Lovers	It's The Morning
Louie And The Lovers	Little Georgie Baker
Louie And The Lovers	Rise
Love	A House Is Not A Motel
Love	Alone Again Or
Love	A Message To Pretty
Love	Andmoreagain
Love	Bummer In The Summer
Love	Can't Explain
Love	Emotions
Love	Hey Joe
Love	I Still Wonder
Love	Laughing Stock
Love	Live And Let Live
Love	Maybe The People Would Be The Times Or Between Clark And Hilldale
Love	My Flash On You
Love	My Little Red Book
Love	No Matter What You Do
Love	Old Man
Love	Orange Skies
Love	Seven & Seven Is
Love	She Comes In Colors
Love	Softly To Me
Love	Stephanie Knows Who
Love	The Castle
Love	The Daily Planet
Love	The Good Humor Man He Sees Everything Like This
Love	The Red Telephone
Love	Willow Willow
Love	You I'll Be Following
Love	Your Mind And We Belong Together
Love	You Set The Scene
Mabel Greer's Toyshop	Images Of You And Me
Mad River	Harfy Magnum
Mad River	Orange Fire
Mad River	They Brought Sadness
Mad River	Wind Chimes
Majic Ship	Green Plant
Majority One	A Hard Days Night
Majority One	Don't Mind The Rain
Majority One	Friday Man
Majority One	Get Back Home
Majority One	Looks Like Rain
Manfred Mann	Funniest Gig
Manfred Mann	Just For Me
Manfred Mann	Lovebird
Manfred Mann	Love Theme
Manfred Mann	The Mighty Quinn (Quinn The Eskimo)
Manfred Mann	Up The Junction
Mark Wirtz	(He's Our Dear Old) Weatherman
Masada	A Hundred Days And Nights
Max Frost And The Troopers	Lonely Man
MC	My Mind Goes High
MC	Smiling
MC	S.S.T.
MC	That's The Word
Michael Blodgett	Clay People Of Box Town
Michael	Caretaker
Mighty Baby	Egyptian Tomb
Mighty Baby	House Without Windows
Mighty Baby	I'm From The Country
Mijal & White	I've Been You
Mike Stuart Span	Concerto Of Thoughts
Mike Stuart Span	My White Bicycle
Mike Stuart Span	Remember The Times
Mike Stuart Span	Second Production
Miller	Baby I've Got News For You
Moby Grape	Bitter Wind
Moby Grape	Captain Nemo
Moby Grape	Changes
Moby Grape	Come In The Morning
Moby Grape	Fall On You
Moby Grape	Going Nowhere
Moby Grape	He
Moby Grape	Hey Grandma
Moby Grape	Indifference
Moby Grape	Lazy Me
Moby Grape	Looper
Moby Grape	Motorcycle Irene
Moby Grape	Mr. Blues
Moby Grape	Omaha
Moby Grape	Rose Colored Eyes
Moby Grape	Rounder
Moby Grape	Seeing
Moby Grape	Sitting By The Window
Moby Grape	Someday
Moby Grape	Truly Fine Citizen
Moby Grape	What's To Choose
Moby Grape	You Can Do Anything
Mojo	Beside Me
Mojo	Candle To Burn
Mojo	Free Ride
Mojo	Whatever Happened To Happy
Moorpark Intersection	I Think I'll Just Go And Find Me A Flower
Morgen	Eternity In Between
Morgen	Of Dreams
Morgen	She's The Nitetime
Morning Disaster	Black Leather Books
Morning Disaster	Song Of Innocence
Morning Disaster	Urban 44
Morning Glory	I See A Light
Morning Glory	So Glad Being Here
Mountain	Mississippi Queen
Mountain	Silver Paper
Mouse And The Boys	Xcedrin Headache #69
Mr. Flood's Party	Advice
Mr. Flood's Party	Deja Vu
Murray Head	She Was Perfection
Music Emporium	Nam Myo Ho Renge Kyo
Music Emporium	Winds Have Changed
Mutantes	Bat Macumba
Nancy Sinatra & Lee Hazlewood	Some Velvet Morning
Nazz	A Beautiful Song
Nazz	Back Of Your Mind
Nazz	Christopher Columbus
Nazz	Crowded
Nazz	Forget All About It
Nazz	Gonna Cry Today
Nazz	Hello It's Me
Nazz	How Can You Call That Beautiful
Nazz	If That's The Way You Feel
Nazz	It Must Be Everywhere
Nazz	It's Not That Easy
Nazz	Kicks
Nazz	Magic Me
Nazz	Meridian Leeward
Nazz	Not Wrong Long
Nazz	Old Time Lovemaking
Nazz	Only One Winner
Nazz	Open My Eyes
Nazz	Rain Rider
Nazz	See What You Can Be
Nazz	Some People
Nazz	Sydney's Lunchbox
Nazz	Take The Hand
Nazz	Under The Ice
Nazz	When I Get My Plane
Neighb'rhood Childr'n	Feeling Zero
Neighb'rhood Childr'n	Long Years In Space
Neighb'rhood Childr'n	She's Got No Identification
Neighb'rhood Childr'n	Sunday Afternoon
Neighb'rhood Childr'n	Up Down Turn Around World
Neil MacArthur	Hung Upside Down
Neil MacArthur	She's Not There
Neil Young & Crazy Horse	Cinnamon Girl
Neil Young & Crazy Horse	Cowgirl In The Sand
Neil Young & Crazy Horse	Down By The River
Neil Young	If I Could Have Her Tonight
Neil Young	I've Been Waiting For You
Neil Young	Sugar Mountain
Neil Young	The Loner
Neil Young	The Old Laughing Lady
Neo Maya	I Won't Hurt You
Neon Pearl	Forever
Neon Pearl	Going With The Flow
Neon Pearl	Just Another Day
Neon Pearl	Out Of Sight
Neon Pearl	What You See
Nepenthe	Good Morning Baby
New York Public Library	Got To Get Away
Nicky James	Silver Butterfly
Nimrod	The Bird
Nirvana	Rainbow Chaser
Norman Greenbaum	Jubilee
Norman Greenbaum	Junior Cadillac
Norman Greenbaum	Marcy
Norman Greenbaum	Spirit In The Sky
Norman Greenbaum	Tars Of India
North Bridge Company	Strange Land, Strange People
Nova Local	Forgotten Man
Ohio Express	First Grade Reader
One In A Million	Double Sight
One In A Million	Fredereek Hernando
One Of Hours	Psychedelic Illusion
Onion	Hello
Opal Butterfly	Gigging Song
Opal Butterfly	You're A Groupie Girl
Orange Bicycle	Amy Peate
Orange Bicycle	Dropping Out
Orange Bicycle	Go With Goldie
Orange Bicycle	Hyacinth Threads
Orange Bicycle	L.A.
Orange Bicycle	Nicely
Orange Bicycle	Renaissance Fair
Orange Bicycle	Trip On An Orange Bicycle
Orange Peel	Searching For A Place To Hide
Orphan Egg	Falling
Orpheus	As They All Fall
Orpheus	Big Green Pearl
Orpheus	Borneo
Orpheus	Brown Arms In Houston
Orpheus	Can't Find The Time
Orpheus	Congress Alley
Orpheus	Door Knob Song
Orpheus	I'll Fly
Orpheus	I'll Stay With You
Orpheus	I've Never Seen Love Like This
Orpheus	Just A Little Bit
Orpheus	Just Got Back
Orpheus	Love Over Here
Orpheus	Mine's Yours
Orpheus	Music Machine
Orpheus	Never In My Life
Orpheus	So Far Away In Love
Orpheus	The Dream
Orpheus	Walk Away Renee
Our Plastic Dream	Encapsulated Marigold
Paddy, Klaus & Gibson	Quick Before They Catch Us
Painted Faces	Black Hearted Susan
Pale Fire	Never Hurt Again
Pandamonium	No Presents For Me
Paper Blitz Tissue	Boy Meets Girl
Paul And Ritchie And The Crying Shames	Come On Back
Paul & Barry Ryan	I Can't Make A Friend
Paul & Barry Ryan	Madrigal
Paul Revere & The Raiders	Hungry
Paul Revere & The Raiders	I Hear A Voice
Paul Revere & The Raiders	Kicks
Pearls Before Swine	The Surrealist Waltz
Penny Nichols	Holy Holy
Penny Nichols	Look Around Rock
Penny Nichols	Mountain Song
Penny Nichols	Wash Day
Pepper & The Shakers	Semi-Psychedelic (It Is)
Peter Fonda	Catch The Wind
Peter & The Blizzards	You Know That I'll Be There
Philamore Lincoln	Rainy Day
Philamore Lincoln	The North Wind Blew South
Philamore Lincoln	The Plains Of Delight
Philippe Debarge w/ The Pretty Things	Eagle's Son
Philippe Debarge w/ The Pretty Things	Graves Of Grey
Philippe Debarge w/ The Pretty Things	Hello, How Do You Do
Philippe Debarge w/ The Pretty Things	It'll Never Be Me
Philippe Debarge w/ The Pretty Things	New Day
Philippe Debarge w/ The Pretty Things	Peace
Philippe Debarge w/ The Pretty Things	You Might Even Say
Philippe Debarge w/ The Pretty Things	You're Running You And Me
Pink Floyd	Apples And Oranges
Pink Floyd	Arnold Layne
Pink Floyd	Astronomy Domine
Pink Floyd	Biding My Time
Pink Floyd	Bike
Pink Floyd	Candy And A Currant Bun
Pink Floyd	Chapter 24
Pink Floyd	Corporal Clegg
Pink Floyd	Cymbaline
Pink Floyd	Fat Old Sun
Pink Floyd	Flaming
Pink Floyd	Grantchester Meadows
Pink Floyd	Ibiza Bar
Pink Floyd	Interstellar Overdrive
Pink Floyd	Jugband Blues
Pink Floyd	Let There Be More Light
Pink Floyd	Lucifer Sam
Pink Floyd	Matilda Mother
Pink Floyd	Paintbox
Pink Floyd	Point Me At The Sky
Pink Floyd	Pow R. Toc H.
Pink Floyd	Remember A Day
Pink Floyd	Scarecrow
Pink Floyd	Scream Thy Last Scream
Pink Floyd	See Emily Play
Pink Floyd	See Saw
Pink Floyd	Set The Controls For The Heart Of The Sun
Pink Floyd	Summer '68
Pink Floyd	Take Up Thy Stethoscope And Walk
Pink Floyd	The Gnome
Pink Floyd	The Narrow Way
Pink Floyd	The Nile Song
Pink Floyd	Vegetable Man
Pinocchio & The Puppets	Fusion
Pipes Of Pan	Monday Morning Rain
Plant And See	Rockin' Chair
Plastic Penny	Celebrity Ball
Plastic Penny	She Does
Plastic Penny	Take Me Back
Plastic Penny	Your Way To Tell Me Go
Powers Of Blue	You Blow My Mind
Pretty	The Electric Hand
Procol Harum	A Salty Dog
Procol Harum	A Whiter Shade Of Pale
Procol Harum	Conquistador
Procol Harum	Homburg
Procol Harum	Long Gone Geek
Procol Harum	Shine On Brightly
Pugh Rogefeldt	Love, Love, Love
Pure Jade Green	How's He Gonna Find Me
Purple Wine	It's My Mind
Pussy	The Open Ground
Question Mark And The Mysterians	96 Tears
Quicksilver Messenger Service	Dino's Song
Quicksilver Messenger Service	Edward (The Mad Shirt Grinder)
Quicksilver Messenger Service	Gold And Silver
Quicksilver Messenger Service	Pride Of Man
Quicksilver Messenger Service	Smokestack Lightning
Quicksilver Messenger Service	The Fool
Rainbow Ffolly	Go Girl
Rainbow Ffolly	Montgolfier
Rainbow Ffolly	Sighing Game
Rainbow Ffolly	Sun Sing
Rainy Daze	That Acapulco Gold
Ramases & Selket	(In My) Mind's Eye
Randy And The Rest	Confusion
Rebecca And The Sunny Brook Farmers	David & Sally
Red Dirt	Memories
Richard Twice	If I Knew You Were The One
Rich Fever	Everything's Moving
Riders Of The Mark	The Electronic Insides And Metal Complexion That Make Up Herr Doktor Krieg
Robbi Curtice	The Soul Of A Man
Rocky Cabbage	Birds Must Learn To Fly
Rocky Cabbage	Freedom
Rotary Connection	Christmas Child
Rotary Connection	If Peace Was All We Had
Rotary Connection	I Took A Ride (Caravan)
Rotary Connection	Life Could
Rotary Connection	Paper Castle
Rotary Connection	Turn Me On
Rupert's People	Dream In My Mind
Rupert's People	I Can Show You
Russell Morris	Into Paper Walls (Part 3)
Russell Morris	The Real Thing (Parts 1 & 2)
Sagittarius	Another Time
Sagittarius	Gladys
Sagittarius	In My Room
Sagittarius	My World Fell Down
Sagittarius	The Truth Is Not Real
Saker	Foggy Tuesday
Santana	Evil Ways
Santana	Oye Como Va
Saturday's Photograph	Gentle Loving San Francisco Man
Schadel	Goodbye Thimble Mill Lane
Second Hand	The World Will End Yesterday
Selwyn & John	Bogey Man
Selwyn & John	When God Gave Us Names
Serendipity	I'm Flying
Shawn Phillips	Stargazer
Shocking Blue	Acka Raga
Shocking Blue	Crazy Drunken Man Dreams
Shocking Blue	Love Buzz
Shocking Blue	Poor Boy
Shocking Blue	Venus
Shocking Blue	Water Boy
Silver Apples	Oscillations
Simon Dupree And The Big Sound	Castle In The Sky
Simon Dupree And The Big Sound	Please Come Back
Simon Dupree And The Big Sound	Something In The Way She Moves
Sir Winston & The Commons	Not The Spirit Of India
Skip Bifferty	Clearway 51
Skip Bifferty	Inside The Secret
Skip Bifferty	Jeremy Carabine
Skip Bifferty	Man In Black
Skip Bifferty	Money Man
Skip Bifferty	Once
Skip Bifferty	On Love
Skip Bifferty	Planting Bad Seeds
Skip Bifferty	Prince Germany The First
Skip Bifferty	Round And Round
Skip Bifferty	This We Shall Explore
Skip Bifferty	Time Track
Skip Bifferty	When She Comes To Stay
Skip Bifferty	Yours For At Least 24
Sly & The Family Stone	I Cannot Make It
Sly & The Family Stone	I Want To Take You Higher
Sly & The Family Stone	Stand!
Small Faces	Afterglow (Of Your Love)
Small Faces	All Or Nothing
Small Faces	All Our Yesterdays
Small Faces	Call It Something Nice
Small Faces	Collibosher
Small Faces	Donkey Rides, Penny A Glass
Small Faces	Green Circles
Small Faces	Here Comes The Nice
Small Faces	Itchycoo Park
Small Faces	I've Got Mine
Small Faces	Just Passing
Small Faces	Lazy Sunday
Small Faces	Long Agos And Worlds Apart
Small Faces	Mad John
Small Faces	Ogdens' Nut Gone Flake
Small Faces	Red Balloon
Small Faces	Rollin' Over
Small Faces	Song Of A Baker
Small Faces	(Tell Me) Have You Ever Seen Me
Small Faces	That Man
Small Faces	The Autumn Stone
Small Faces	The Hungry Intruder
Small Faces	The Journey
Small Faces	Tin Soldier
Small Faces	Understanding
Small Faces	Up The Wooden Hills To Bedfordshire
Small Faces	Wham Bam Thank You Mam
Small Faces	Wide Eyed Girl On The Wall
Small Faces	Yesterday, Today And Tomorrow
Sole Society	Psychedelic Cycle
Sons Of Champlin	Sing Me A Rainbow
Sons Of The Keystone Kops	Chain Gang Man
Sopwith Camel	Frantic Desolation
Sopwith Camel	Hello Hello
Sopwith Camel	Little Orphan Annie
Sopwith Camel	Maybe In A Dream
Sopwith Camel	Saga Of The Low Down Let Down
Sopwith Camel	The Great Morpheum
Sopwith Camel	Treadin'
Sopwith Camel	You Always Tell Me Baby
Soundpeace	Strawberry Pie Lounge
Sounds Bob Rogers	Dream With Me
Sounds Synonymous	Tensions
Sound Vendor	Mister Sun
Southwest F.O.B.	And Another Thing
Southwest F.O.B.	Bells Of Baytown
Southwest F.O.B.	Rock 'N' Roll Woman
Southwest F.O.B.	Smell Of Incense
Spice	In Love
Spirit	Animal Zoo
Spirit	Aren't You Glad
Spirit	Dream Within A Dream
Spirit	Eventide
Spirit	Fog
Spirit	Fresh Garbage
